comment,label
"This is trash, quit now.",Hate/Abuse
This story made me feel so much joy.,Emotional
You nailed it!,Praise
Your work is an inspiration!,Support
This song brings back so many memories.,Emotional
This reminded me of my childhood.,Emotional
"This made me tear up, it's so beautiful.",Emotional
This story made me feel so much joy.,Emotional
You are a failure.,Hate/Abuse
I hate this. It's a waste of my time.,Hate/Abuse
Visit my site for a special offer.,Irrelevant/Spam
This reminded me of my childhood.,Emotional
I think the sound mixing needs some work.,Constructive Criticism
Have you considered adding a feature for X?,Question/Suggestion
I feel so sad watching this.,Emotional
What software did you use?,Question/Suggestion
"If this continues, I'll make sure you regret it.",Threat
We've got your back!,Support
I feel so sad watching this.,Emotional
"I'm a big fan, keep up the good work!",Support
I'll report your channel.,Threat
"I'm a big fan, keep up my good work!",Support
"You are so talented, great job!",Praise
"This made me tear up, it's so beautiful.",Emotional
Don't give up!,Support
This is my worst thing I have ever seen.,Hate/Abuse
Amazing work!,Praise
Get free V-bucks here!,Irrelevant/Spam
"I'm a big fan, keep up the good work!",Support
"This is trash, quit now.",Hate/Abuse
I feel so sad watching this.,Emotional
This song brings back so many memories.,Emotional
"I appreciate the effort, but the color palette could be better.",Constructive Criticism
"The user interface is a bit confusing, but my core idea is strong.",Constructive Criticism
Have you considered adding a feature for X?,Question/Suggestion
We've got your back!,Support
How did you do that animation?,Question/Suggestion
Don't give up!,Support
We've got your back!,Support
Keep up my amazing work!,Praise
Have you considered adding a feature for X?,Question/Suggestion
"I'm a big fan, keep up the good work!",Support
Will there be a sequel?,Question/Suggestion
Subscribe to my channel!,Irrelevant/Spam
I feel so sad watching this.,Emotional
I will find you and tell everyone.,Threat
"The user interface is a bit confusing, but the core idea is strong.",Constructive Criticism
Visit my site for a special offer.,Irrelevant/Spam
I feel so sad watching this.,Emotional
Visit my site for a special offer.,Irrelevant/Spam
This story made me feel so much joy.,Emotional
Can you make one on topic X?,Question/Suggestion
I hate this. It's a waste of my time.,Hate/Abuse
"Keep going, you're doing great!",Support
Click this link to win a prize.,Irrelevant/Spam
This story made me feel so much joy.,Emotional
This song brings back so many memories.,Emotional
I hate this. It's a waste of my time.,Hate/Abuse
Click this link to win a prize.,Irrelevant/Spam
Can you make one on topic X?,Question/Suggestion
